aveargeF1, averagePrecision, averageRecall, fitness, indexName, fitnessMethod, sub-populations, popSize, genomeSizePop0, wordListSizePop0, queryType, gen, job, date 
0.93, 1.0, 0.86, 11445.81, CRISIS3, SCORE, 4, 512, 18, 100,OR, 399, 0, Mon Jun 18 12:44:00 BST 2018 
0.0, 0.0, 0.0, 0.0, CRISIS3, SCORE, 4, 512, 18, 100,AND, 399, 1, Mon Jun 18 12:44:44 BST 2018 
0.29, 0.7, 0.2, 6183.44, CRISIS3, SCORE, 4, 512, 18, 100,DNF_OR_AND, 399, 2, Mon Jun 18 12:46:11 BST 2018 
0.61, 1.0, 0.47, 11087.91, CRISIS3, SCORE, 4, 512, 18, 100,DNF_AND_OR, 399, 3, Mon Jun 18 12:48:19 BST 2018 
0.56, 1.0, 0.41, 8865.57, CRISIS3, SCORE, 4, 512, 18, 100,MINSHOULD2, 399, 4, Mon Jun 18 12:50:20 BST 2018 
0.91, 1.0, 0.83, 10501.53, CRISIS3, SCORE, 4, 512, 18, 100,ORNOT, 399, 5, Mon Jun 18 12:53:08 BST 2018 
0.84, 1.0, 0.72, 8069.95, CRISIS3, SCORE, 4, 512, 18, 100,SPAN_FIRST, 399, 6, Mon Jun 18 12:55:43 BST 2018 
0.93, 1.0, 0.86, 11445.81, CRISIS3, SCORE, 4, 512, 18, 100,OR, 399, 7, Mon Jun 18 12:58:33 BST 2018 
0.0, 0.0, 0.0, 0.0, CRISIS3, SCORE, 4, 512, 18, 100,AND, 399, 8, Mon Jun 18 12:59:15 BST 2018 
0.4, 0.84, 0.27, 6516.17, CRISIS3, SCORE, 4, 512, 18, 100,DNF_OR_AND, 399, 9, Mon Jun 18 13:00:41 BST 2018 
0.73, 1.0, 0.58, 12486.54, CRISIS3, SCORE, 4, 512, 18, 100,DNF_AND_OR, 399, 10, Mon Jun 18 13:02:42 BST 2018 
0.56, 1.0, 0.41, 8865.57, CRISIS3, SCORE, 4, 512, 18, 100,MINSHOULD2, 399, 11, Mon Jun 18 13:04:34 BST 2018 
